,fldr,sx,sy
557,10439,-30778,17194
558,10440,-30943,17193
559,10441,-31108,17192
560,10442,-31272,17192
561,10443,-31437,17190
562,10444,-31602,17187
563,10445,-31767,17186
564,10446,-31931,17183
565,10447,-32096,17180
566,10448,-32260,17178
567,10449,-32426,17177
568,10450,-32591,17176
569,10451,-32756,17176
570,10452,-32920,17176
571,10453,-33085,17176
572,10454,-33250,17175
573,10455,-33415,17173
574,10456,-33579,17170
575,10457,-33744,17167
576,10458,-33909,17166
577,10459,-34074,17167
578,10460,-34238,17165
579,10461,-34403,17164
580,10462,-34568,17163
581,10463,-34732,17163
582,10464,-34897,17162
583,10465,-35062,17160
584,10466,-35227,17159
585,10467,-35391,17159
586,10468,-35556,17157
587,10469,-35721,17155
588,10470,-35886,17154
589,10471,-36051,17153
590,10472,-36215,17152
591,10473,-36380,17151
592,10474,-36545,17150
593,10475,-36709,17141
594,10476,-36874,17130
595,10477,-37039,17129
596,10478,-37204,17130
597,10479,-37369,17129
598,10480,-37533,17130
599,10481,-37698,17131
600,10482,-37863,17133
601,10483,-38028,17132
602,10484,-38192,17130
603,10485,-38357,17131
604,10486,-38522,17131
605,10487,-38687,17130
606,10488,-38851,17129
607,10489,-39016,17129
608,10490,-39181,17129
609,10491,-39346,17129
610,10492,-39510,17127
611,10493,-39675,17127
612,10494,-39840,17127
613,10495,-40005,17126
614,10496,-40169,17125
615,10497,-40334,17124
616,10498,-40499,17123
617,10499,-40664,17124
618,10500,-40828,17121
619,10501,-40993,17113
620,10502,-41158,17110
621,10503,-41323,17106
622,10977,-42719,21053
623,10978,-42553,21036
624,10979,-42388,21013
625,10980,-42223,20986
626,10981,-42058,20974
627,10982,-41893,20971
628,10984,-41563,20953
629,10985,-41398,20950
630,10986,-41233,20946
631,10987,-41068,20942
632,10988,-40903,20937
633,10989,-40739,20943
634,10990,-40574,20945
635,10991,-40409,20944
636,10992,-40244,20944
637,10993,-40079,20943
638,10994,-39915,20943
639,10995,-39750,20942
640,10996,-39585,20942
641,10997,-39420,20942
642,10998,-39255,20943
643,10999,-39091,20944
644,11000,-38926,20945
645,11001,-38761,20947
646,11002,-38596,20948
647,11003,-38431,20948
648,11004,-38266,20948
649,11005,-38102,20949
650,11006,-37937,20948
651,11007,-37772,20949
652,11008,-37608,20950
653,11009,-37443,20953
654,11010,-37278,20955
655,11011,-37113,20957
656,11012,-36949,20961
657,11013,-36784,20963
658,11014,-36619,20968
659,11015,-36455,20975
660,11016,-36290,20979
661,11017,-36125,20977
662,11018,-35960,20974
663,11019,-35795,20973
664,11020,-35630,20973
665,11021,-35466,20973
666,11022,-35301,20974
667,11023,-35136,20975
668,11024,-34971,20977
669,11025,-34806,20977
670,11026,-34642,20979
671,11027,-34477,20980
672,11028,-34312,20980
673,11029,-34147,20981
674,11030,-33982,20981
675,11031,-33817,20982
676,11032,-33653,20983
677,11033,-33488,20984
678,11034,-33323,20985
679,11035,-33158,20986
680,11036,-32993,20987
681,11037,-32828,20988
682,11038,-32664,20990
683,11039,-32499,20990
684,11040,-32334,20990
685,11041,-32169,20991
686,11042,-32005,20990
687,11043,-31840,20990
688,11044,-31675,20991
689,11045,-31510,20992
690,11046,-31346,20993
691,11047,-31181,20994
692,11048,-31016,20995
693,11049,-30851,20995
694,11050,-30687,20996
695,11051,-30522,20998
696,11052,-30357,20999
697,11053,-30192,21000
698,11054,-30027,20999
699,11055,-29863,20998
700,11056,-29698,20998
701,11057,-29533,20996
702,11058,-29369,20997
703,11059,-29204,20998
704,11060,-29039,21000
705,11061,-28874,21001
706,11062,-28710,21001
707,11063,-28545,21001
708,11064,-28380,21002
709,11065,-28215,21004
710,11066,-28051,21005
711,11067,-27886,21006
712,11068,-27721,21007
713,11069,-27556,21006
714,11070,-27391,21006
715,11071,-27227,21007
716,11072,-27062,21008
717,11073,-26897,21009
718,11074,-26733,21010
719,11075,-26568,21010
720,11076,-26403,21011
721,11077,-26238,21011
722,11078,-26074,21010
723,11079,-25909,21011
724,11080,-25744,21010
725,11081,-25579,21011
726,11082,-25415,21012
727,11083,-25250,21012
728,11084,-25085,21014
729,11085,-24920,21014
730,11086,-24756,21015
731,11087,-24591,21015
732,11088,-24426,21016
733,11089,-24261,21017
734,11090,-24096,21019
735,11091,-23932,21021
736,11092,-23767,21021
737,11093,-23602,21019
738,11094,-23437,21018
739,11095,-23273,21020
740,11096,-23108,21022
741,11097,-22943,21027
742,11098,-22778,21033
743,11099,-22613,21033
744,11100,-22449,21031
745,11101,-22284,21030
746,11102,-22119,21029
747,11103,-21955,21030
748,11104,-21790,21030
749,11105,-21625,21030
750,11106,-21460,21031
751,11107,-21296,21030
752,11108,-21131,21029
753,11109,-20966,21027
754,11110,-20801,21026
755,11111,-20636,21028
756,11112,-20472,21029
757,11113,-20307,21028
758,11114,-20142,21029
759,11115,-19977,21030
760,11116,-19813,21031
761,11117,-19648,21032
762,11118,-19483,21033
763,11119,-19318,21034
764,11120,-19154,21036
765,11121,-18989,21038
766,11122,-18824,21041
767,11123,-18659,21042
768,11124,-18494,21040
769,11125,-18330,21041
770,11126,-18165,21042
771,11127,-18000,21047
772,11128,-17836,21053
773,11129,-17671,21056
774,11130,-17506,21061
775,11131,-17341,21063
776,11132,-17176,21066
777,11133,-17012,21067
778,11134,-16847,21070
779,11135,-16681,21072
780,11136,-16517,21075
781,11137,-16352,21074
782,11138,-16187,21072
783,11139,-16022,21070
784,11140,-15858,21069
785,11141,-15693,21068
786,11142,-15528,21068
787,11143,-15364,21066
788,11144,-15199,21065
789,11145,-15035,21066
790,11146,-14870,21066
791,11147,-14705,21065
792,11148,-14540,21065
793,11149,-14376,21065
794,11150,-14211,21066
795,11151,-14046,21066
796,11152,-13881,21065
797,11153,-13717,21066
798,11154,-13552,21067
799,11155,-13387,21068
800,11156,-13222,21070
801,11157,-13058,21069
802,11158,-12893,21071
803,11159,-12728,21074
804,11160,-12563,21075
805,11161,-12399,21075
806,11162,-12234,21075
807,11163,-12069,21074
808,11164,-11904,21074
809,11165,-11739,21075
810,11166,-11575,21076
811,11167,-11410,21077
812,11168,-11245,21077
813,11169,-11081,21079
814,11170,-10916,21079
815,11171,-10751,21079
816,11172,-10586,21081
817,11173,-10422,21081
818,11174,-10257,21082
819,11175,-10092,21085
820,11176,-9927,21085
821,11177,-9763,21086
822,11178,-9598,21086
823,11179,-9433,21086
824,11180,-9268,21086
825,11181,-9103,21087
826,11182,-8939,21087
827,11183,-8774,21087
828,11184,-8609,21093
829,11185,-8445,21095
830,11186,-8280,21093
831,11187,-8115,21093
832,11188,-7950,21093
833,11189,-7786,21092
834,11190,-7621,21093
835,11191,-7456,21094
836,11192,-7291,21095
837,11193,-7126,21096
838,11194,-6962,21097
839,11195,-6797,21096
840,11196,-6632,21095
841,11197,-6467,21095
842,11198,-6303,21095
843,11199,-6138,21097
844,11200,-5973,21099
845,11201,-5808,21098
846,11202,-5644,21096
847,11203,-5479,21096
848,11204,-5314,21096
849,11205,-5149,21099
850,11206,-4985,21105
851,11207,-4820,21107
852,11208,-4655,21107
853,11209,-4490,21109
854,11210,-4326,21109
855,11211,-4161,21109
856,11212,-3996,21111
857,11213,-3831,21112
858,11214,-3666,21112
859,11215,-3502,21113
860,11216,-3337,21115
861,11217,-3172,21116
862,11218,-3008,21117
863,11219,-2843,21117
864,11220,-2678,21118
865,11221,-2513,21119
866,11222,-2349,21121
867,11223,-2184,21120
868,11224,-2019,21122
869,11225,-1854,21123
870,11226,-1690,21122
871,11227,-1525,21124
872,11228,-1360,21125
873,11229,-1195,21125
874,11230,-1030,21127
875,11231,-866,21128
876,11232,-701,21129
877,11233,-536,21131
878,11234,-371,21132
879,11235,-207,21132
880,11236,-42,21133
881,11237,122,21135
882,11238,287,21134
883,11239,451,21135
884,11240,616,21134
885,11241,781,21133
886,11242,946,21134
887,11243,1110,21136
888,11244,1275,21138
889,11245,1440,21138
890,11246,1605,21137
891,11247,1769,21138
892,11248,1934,21140
893,11249,2099,21140
894,11250,2264,21138
895,11251,2428,21140
896,11252,2593,21141
897,11253,2758,21141
898,11254,2923,21142
899,11255,3087,21142
900,11256,3252,21142
901,11257,3417,21144
902,11258,3582,21146
903,11259,3746,21148
904,11260,3911,21150
905,11261,4076,21151
906,11262,4241,21149
907,11263,4405,21146
908,11264,4570,21146
909,11265,4735,21148
910,11266,4899,21150
911,11267,5064,21149
912,11268,5229,21149
913,11269,5394,21149
914,11270,5558,21150
915,11271,5723,21151
916,11272,5888,21151
917,11273,6053,21150
918,11274,6218,21151
919,11275,6383,21152
920,11276,6547,21152
921,11277,6712,21154
922,11278,6877,21155
923,11279,7041,21157
924,11280,7206,21158
925,11281,7371,21158
926,11282,7536,21158
927,11283,7701,21158
928,11284,7865,21158
929,11285,8030,21159
930,11286,8195,21159
931,11287,8360,21160
932,11288,8524,21161
933,11289,8689,21162
934,11290,8854,21162
935,11291,9019,21162
936,11292,9183,21163
937,11293,9348,21164
938,11294,9513,21164
939,11295,9678,21165
940,11296,9842,21166
941,11297,10007,21166
942,11298,10172,21169
943,11299,10337,21170
944,11300,10501,21170
945,11301,10666,21171
946,11302,10831,21172
947,11303,10996,21173
948,11304,11160,21174
949,11305,11325,21175
950,11306,11490,21175
951,11307,11655,21176
952,11308,11819,21176
953,11309,11984,21179
954,11403,6268,19435
955,11404,6267,19601
956,11405,6267,19767
957,11406,6265,19934
958,11407,6264,20100
959,11408,6263,20266
960,11409,6263,20432
961,11410,6262,20598
962,11411,6261,20764
963,11412,6260,20930
964,11413,6259,21096
965,11414,6259,21262
966,11415,6258,21429
967,11416,6256,21595
968,11417,6256,21761
969,11418,6254,21927
970,11419,6251,22093
971,11420,6250,22260
972,11421,6249,22425
973,11422,6249,22592
974,11423,6249,22758
975,11424,6249,22924
976,11425,6247,23091
977,11426,6237,23262
978,11427,6206,23438
979,11428,6150,23618
980,11429,6065,23803
981,11430,5943,23994
982,11506,5243,24505
983,11507,5081,24551
984,11508,4918,24578
985,11509,4753,24587
986,11510,4589,24585
987,11511,4425,24583
988,11512,4260,24584
989,11513,4096,24585
990,11514,3931,24584
991,11515,3766,24585
992,11516,3602,24585
993,11517,3437,24586
994,11518,3272,24587
995,11519,3107,24587
996,11520,2943,24589
997,11521,2778,24588
998,11522,2614,24589
999,11523,2449,24589
1000,11524,2284,24588
1001,11525,2119,24587
1002,11526,1955,24586
1003,11527,1790,24586
1004,11528,1625,24589
1005,11529,1460,24593
1006,11530,1295,24592
1007,11531,1130,24591
1008,11532,965,24590
1009,11533,801,24590
1010,11534,636,24590
1011,11535,471,24588
1012,11536,306,24588
1013,11537,142,24591
1014,11538,-22,24592
1015,11539,-187,24592
1016,11540,-352,24591
1017,11541,-516,24592
1018,11542,-681,24592
1019,11543,-845,24594
1020,11544,-1009,24593
1021,11545,-1174,24591
1022,11546,-1339,24591
1023,11547,-1503,24591
1024,11548,-1668,24591
1025,11549,-1833,24591
1026,11550,-1998,24592
1027,11551,-2163,24593
1028,11552,-2327,24595
1029,11553,-2492,24595
1030,11554,-2657,24595
1031,11555,-2822,24596
1032,11556,-2986,24596
1033,11557,-3151,24595
1034,11558,-3316,24596
1035,11559,-3481,24595
1036,11560,-3645,24595
1037,11561,-3810,24595
1038,11562,-3975,24594
1039,11563,-4140,24593
1040,11564,-4304,24593
1041,11565,-4469,24595
1042,11566,-4634,24595
1043,11567,-4799,24595
1044,11568,-4963,24594
1045,11569,-5128,24595
1046,11570,-5293,24595
1047,11571,-5458,24593
1048,11572,-5622,24594
1049,11573,-5787,24594
1050,11574,-5952,24596
1051,11575,-6117,24596
1052,11576,-6282,24596
1053,11577,-6446,24596
1054,11578,-6611,24596
1055,11579,-6776,24595
1056,11580,-6941,24596
1057,11581,-7105,24598
1058,11582,-7270,24599
1059,11583,-7435,24600
1060,11584,-7600,24600
1061,11585,-7764,24598
1062,11586,-7929,24598
1063,11587,-8094,24598
1064,11588,-8259,24599
1065,11589,-8424,24599
1066,11590,-8588,24598
1067,11591,-8753,24596
1068,11592,-8917,24596
1069,11593,-9082,24598
1070,11594,-9247,24598
1071,11595,-9412,24597
1072,11596,-9577,24598
1073,11597,-9741,24598
1074,11598,-9906,24597
1075,11599,-10071,24597
1076,11600,-10236,24598
1077,11601,-10400,24595
1078,11602,-10565,24594
1079,11603,-10730,24593
1080,11604,-10894,24591
1081,11605,-11059,24590
1082,11606,-11224,24589
1083,11607,-11388,24589
1084,11608,-11553,24589
1085,11609,-11718,24588
1086,11610,-11882,24588
1087,11611,-12047,24588
1088,11612,-12212,24589
1089,11613,-12377,24589
1090,11614,-12542,24589
1091,11615,-12706,24590
1092,11616,-12871,24590
1093,11617,-13036,24590
1094,11618,-13201,24591
1095,11619,-13365,24591
1096,11620,-13530,24592
1097,11621,-13695,24592
1098,11622,-13860,24593
1099,11623,-14024,24592
1100,11624,-14189,24592
1101,11625,-14354,24593
1102,11626,-14519,24592
1103,11627,-14684,24591
1104,11628,-14848,24591
1105,11629,-15013,24591
1106,11630,-15178,24592
1107,11631,-15343,24593
1108,11632,-15507,24592
1109,11633,-15672,24592
1110,11634,-15837,24593
1111,11635,-16002,24593
1112,11636,-16166,24593
1113,11637,-16331,24594
1114,11638,-16496,24593
1115,11639,-16661,24593
1116,11640,-16825,24593
1117,11641,-16990,24593
1118,11642,-17155,24592
1119,11643,-17320,24593
1120,11644,-17485,24594
1121,11645,-17649,24594
1122,11646,-17814,24593
1123,11647,-17979,24592
1124,11648,-18143,24593
1125,11649,-18308,24593
1126,11650,-18473,24594
1127,11651,-18638,24595
1128,11652,-18802,24595
1129,11653,-18967,24595
1130,11654,-19132,24597
1131,11655,-19297,24598
1132,11656,-19462,24597
1133,11657,-19626,24596
1134,11658,-19791,24596
1135,11659,-19956,24596
1136,11660,-20121,24595
1137,11661,-20285,24594
1138,11662,-20450,24595
1139,11663,-20615,24596
1140,11664,-20780,24598
1141,11665,-20945,24598
1142,11666,-21109,24599
1143,11667,-21274,24600
1144,11668,-21439,24599
1145,11669,-21604,24599
1146,11670,-21768,24599
1147,11671,-21933,24598
1148,11672,-22098,24596
1149,11673,-22262,24597
1150,11674,-22427,24597
1151,11675,-22592,24597
1152,11676,-22757,24596
1153,11677,-22921,24594
1154,11678,-23086,24593
1155,11679,-23251,24590
1156,11680,-23415,24589
1157,11681,-23580,24589
1158,11682,-23745,24589
1159,11683,-23910,24589
1160,11684,-24075,24587
1161,11685,-24240,24585
1162,11686,-24404,24585
1163,11687,-24569,24587
1164,11688,-24734,24587
1165,11689,-24899,24586
1166,11690,-25064,24586
1167,11691,-25228,24586
1168,11692,-25393,24586
1169,11693,-25558,24587
1170,11694,-25723,24586
1171,11695,-25887,24587
1172,11696,-26052,24587
1173,11697,-26217,24588
1174,11698,-26382,24590
1175,11699,-26547,24590
1176,11700,-26712,24589
1177,11701,-26877,24589
1178,11702,-27042,24590
1179,11703,-27206,24591
1180,11704,-27371,24592
1181,11705,-27536,24593
1182,11706,-27700,24592
1183,11707,-27865,24593
1184,11708,-28030,24594
1185,11709,-28195,24594
